id,home,away,home_score,away_score,advances
gA-01,Mexico,South Africa,2,0,
gA-02,South Korea,Czech Republic,2,1,
gB-01,Canada,Bosnia and Herzegovina,1,1,
gD-01,United States,Paraguay,4,1,
gB-02,Qatar,Switzerland,1,1,
gC-01,Brazil,Morocco,1,1,
gC-02,Haiti,Scotland,0,1,
gD-02,Australia,Turkey,2,0,
gE-01,Germany,Curaçao,7,1,
gE-02,Ivory Coast,Ecuador,1,0,
gF-01,Netherlands,Japan,2,2,
gF-02,Sweden,Tunisia,5,1,
gG-01,Belgium,Egypt,1,1,
gG-02,Iran,New Zealand,2,2,
gH-01,Spain,Cape Verde,0,0,
gH-02,Saudi Arabia,Uruguay,1,1,
gI-01,France,Senegal,3,1,
gI-02,Iraq,Norway,1,4,
gJ-01,Argentina,Algeria,3,0,
gJ-02,Austria,Jordan,3,1,
gK-01,Portugal,DR Congo,1,1,
gK-02,Uzbekistan,Colombia,1,3,
gL-01,England,Croatia,4,2,
gL-02,Ghana,Panama,1,0,
gA-03,Czech Republic,South Africa,1,1,
gA-04,Mexico,South Korea,1,0,
gB-03,Switzerland,Bosnia and Herzegovina,4,1,
gB-04,Canada,Qatar,6,0,
gC-03,Scotland,Morocco,0,1,
gC-04,Brazil,Haiti,3,0,
gD-03,United States,Australia,2,0,
gD-04,Turkey,Paraguay,0,1,
gE-03,Germany,Ivory Coast,2,1,
gE-04,Ecuador,Curaçao,0,0,
gF-03,Netherlands,Sweden,5,1,
gF-04,Tunisia,Japan,0,4,
gG-03,Belgium,Iran,0,0,
gG-04,New Zealand,Egypt,1,3,
gH-03,Spain,Saudi Arabia,4,0,
gH-04,Uruguay,Cape Verde,2,2,
gI-03,France,Iraq,3,0,
gI-04,Norway,Senegal,2,1,
gJ-03,Argentina,Austria,2,0,
gJ-04,Jordan,Algeria,1,2,
gK-03,Portugal,Uzbekistan,5,0,
gK-04,Colombia,DR Congo,2,1,
gL-03,England,Ghana,2,0,
gL-04,Panama,Croatia,1,3,
gA-05,Mexico,Czech Republic,3,0,
gA-06,South Africa,South Korea,1,0,
gB-05,Canada,Switzerland,1,2,
gB-06,Bosnia and Herzegovina,Qatar,3,1,
gC-05,Scotland,Brazil,0,3,
gC-06,Morocco,Haiti,4,2,
gD-05,United States,Turkey,2,3,
gD-06,Paraguay,Australia,0,0,
gE-05,Curaçao,Ivory Coast,0,2,
gE-06,Ecuador,Germany,2,1,
gF-05,Japan,Sweden,1,1,
gF-06,Tunisia,Netherlands,1,3,
gG-05,Egypt,Iran,1,1,
gG-06,New Zealand,Belgium,1,5,
gH-05,Cape Verde,Saudi Arabia,0,0,
gH-06,Uruguay,Spain,0,1,
gI-05,Norway,France,1,4,
gI-06,Senegal,Iraq,5,0,
gJ-05,Algeria,Austria,3,3,
gJ-06,Jordan,Argentina,1,3,
gK-05,Colombia,Portugal,0,0,
gK-06,DR Congo,Uzbekistan,3,1,
gL-05,Panama,England,0,2,
gL-06,Croatia,Ghana,2,1,
P73,South Africa,Canada,0,1,Canada
P76,Brazil,Japan,2,1,Brazil
P74,Germany,Paraguay,1,1,Paraguay
P75,Netherlands,Morocco,1,1,Morocco
P77,France,Sweden,3,0,France
P78,Ivory Coast,Norway,1,2,Norway
P79,Mexico,Ecuador,2,0,Mexico
P80,England,DR Congo,2,1,England
P81,United States,Bosnia and Herzegovina,2,0,United States
P82,Belgium,Senegal,2,2,Belgium
P83,Portugal,Croatia,2,1,Portugal
P84,Spain,Austria,3,0,Spain
P85,Switzerland,Algeria,2,0,Switzerland
P86,Argentina,Cape Verde,1,1,Argentina
P87,Colombia,Ghana,1,0,Colombia
P88,Australia,Egypt,1,1,Egypt
P90,Canada,Morocco,0,3,Morocco
P89,Paraguay,France,0,1,France
P91,Brazil,Norway,1,2,Norway
P92,Mexico,England,2,3,England
P93,Portugal,Spain,0,1,Spain
P94,United States,Belgium,1,4,Belgium
P95,Argentina,Egypt,3,2,Argentina
P96,Switzerland,Colombia,0,0,Switzerland
P97,France,Morocco,2,0,France
P99,Norway,England,,,
P98,Spain,Belgium,2,1,Spain
P100,Argentina,Switzerland,,,
P101,France,Spain,,,
P102,England,Argentina,,,
